Date,Bitcoin,Dogecoin,Etherium
2021-03-27,55973.51171875,0.0543770007789135,1716.49462890625
2021-03-28,55950.74609375,0.0536979995667934,1691.35595703125
2021-03-29,57750.19921875,0.054051999002695,1819.6849365234375
2021-03-30,58917.69140625,0.0538999997079372,1846.03369140625
2021-03-31,58918.83203125,0.0536569990217685,1918.362060546875
2021-04-01,59095.80859375,0.0619859993457794,1977.27685546875
2021-04-02,59384.3125,0.0576639994978904,2143.2255859375
2021-04-03,57603.890625,0.0558039993047714,2028.4224853515625
2021-04-04,58758.5546875,0.0574040003120899,2093.122802734375
2021-04-05,59057.87890625,0.0596960000693798,2107.88720703125
2021-04-06,58192.359375,0.0644579976797103,2118.37890625
2021-04-07,56048.9375,0.0590279996395111,1971.0772705078125
2021-04-08,58323.953125,0.061464000493288,2088.57373046875
2021-04-09,58245.00390625,0.061684001237154,2072.10888671875
2021-04-10,59793.234375,0.0638450011610984,2135.942138671875
2021-04-11,60204.96484375,0.0746489986777305,2157.656982421875
2021-04-12,59893.453125,0.0707670003175735,2139.353271484375
2021-04-13,63503.45703125,0.0934450030326843,2299.187744140625
2021-04-14,63109.6953125,0.12151700258255,2435.10498046875
2021-04-15,63314.01171875,0.1822070032358169,2519.1162109375
2021-04-16,61572.7890625,0.3658699989318847,2431.946533203125
2021-04-17,60683.8203125,0.2841730117797851,2344.89501953125
2021-04-18,56216.18359375,0.3204750120639801,2237.136962890625
2021-04-19,55724.265625,0.4073179960250854,2166.188720703125
2021-04-20,56473.03125,0.3194999992847442,2330.2109375
2021-04-21,53906.08984375,0.3069249987602234,2364.751708984375
2021-04-22,51762.2734375,0.2609669864177704,2403.53515625
2021-04-23,51093.65234375,0.2485090047121048,2363.586181640625
2021-04-24,50050.8671875,0.2702119946479797,2211.625732421875
2021-04-25,49004.25390625,0.2511110007762909,2316.0595703125
2021-04-26,54021.75390625,0.2706739902496338,2534.481689453125
2021-04-27,55033.1171875,0.2721880078315735,2662.865234375
2021-04-28,54824.703125,0.3236820101737976,2746.380126953125
2021-04-29,53555.109375,0.3051689863204956,2756.876953125
2021-04-30,57750.17578125,0.3375610113143921,2773.20703125
2021-05-01,57828.05078125,0.3929870128631592,2945.892822265625
2021-05-02,56631.078125,0.3760460019111633,2952.05615234375
2021-05-03,57200.29296875,0.4417069852352142,3431.086181640625
2021-05-04,53333.5390625,0.5413339734077454,3253.62939453125
2021-05-05,57424.0078125,0.6576330065727234,3522.783203125
2021-05-06,56396.515625,0.5808039903640747,3490.88037109375
2021-05-07,57356.40234375,0.684777021408081,3484.72900390625
